query_id,answer
1,4308 1899 4265 4391 4205 4396 1901 2943 4234 1960
2,3149 4205 4407 4403 4400 2408 4009 2511 4308 1923
3,4308 4408 1909 4234 4362 2964 4045 4387 4396 4400
4,4400 4331 4234 4532 4361 2696 3149 4403 2865 4219
5,4388 4214 2698 4045 4308 4050 4153 4409 4367 4234
6,2214 3750 3016 4523 2032 4309 4312 4324 4254 3744
7,3149 3689 3055 4403 2521 4308 4205 3088 4400 2831
8,2698 4383 4234 4308 1951 4214 3128 4331 4532 4045
9,4451 4214 2698 3995 4290 4227 3314 4445 2405 4447
10,4400 2696 4403 4358 2831 2962 2521 1966 4361 4407
11,2696 4400 4361 3149 3689 4408 2964 4532 2865 4406
12,4400 2696 4308 2865 4361 4408 4406 3844 4219 1966
13,4219 4440 2646 4384 2865 2521 3078 4389 4361 3127
14,4397 2962 4227 4290 4335 4359 2663 2794 2902 4219
15,2037 4406 4361 3470 4219 4384 1966 3169 2943 3078
16,4219 4361 4440 4331 2521 4308 2943 4406 4532 1958
17,4384 4532 3007 4375 4355 4111 4050 4045 4219 4361
18,4219 4308 4400 4234 2646 4408 4403 4214 4396 2831
19,4214 2665 2698 4308 4354 4219 4050 4361 4395 4153
20,2696 4400 4308 4331 4361 2865 4234 2831 3078 4219
21,4214 4395 2698 4361 2646 4366 4384 4050 4205 4424
22,4445 2148 3909 4332 2663 3889 2968 1901 4367 4017
23,4286 4362 4045 4050 4153 4234 4204 4460 2863 4396
24,4219 4389 4440 2521 4361 2943 4308 2646 4394 4205
25,4214 2698 4395 4050 4451 4424 4366 4153 2665 1951
26,4389 4440 4394 4397 2962 4219 3565 2865 4361 4525
27,4440 4387 2865 4509 1966 3470 4219 2696 3567 4389
28,4403 4400 2962 4407 4361 2408 4308 2696 4437 3006
29,2696 4406 4361 3844 2865 4400 1966 2521 2037 2646
30,4219 2962 4214 2646 1951 3467 4234 4331 4320 4308
31,4400 2831 1909 1960 4403 4219 4408 4234 4308 2962
32,4397 2962 3056 4404 4265 4391 3929 4271 4257 3088
33,4440 2696 1966 4400 2521 4361 4406 4389 2865 4219
34,2865 4361 4400 3844 4219 2696 3470 4406 1966 4407
35,4396 4286 1907 4204 4308 2408 1909 4234 4403 4407
36,4387 1958 4532 4504 4219 2865 1966 3055 3088 3470
37,4400 4358 4532 4219 4403 4387 4361 2408 4234 4408
38,4440 3470 2696 3078 4384 1966 4400 4219 3088 2831
39,4045 1951 4234 4050 4214 2698 4153 3467 4204 4320
40,4219 2646 4308 4331 4400 4234 4408 4214 2964 4502
41,4406 4362 4361 4214 4234 4045 2646 4227 4204 4446
42,4219 4308 4387 3088 1958 4234 4400 4111 4532 4504
43,4234 4403 4308 4362 1899 1901 2408 4219 4361 4396
44,2865 1966 4406 3844 4508 2696 4400 4361 4509 3567
45,4406 2696 4361 4532 4400 2865 4403 4219 1966 2521
46,2665 4214 2698 4361 4308 4366 4358 2511 3553 4398
47,4214 2646 4234 4219 4331 4334 4384 3470 4406 4308
48,3470 4387 2696 4219 4440 2646 1966 1958 4384 4389
49,4358 4408 4012 4083 2831 1899 2964 4219 4403 1960
50,4301 1951 4234 4320 4375 3467 4202 4354 4050 4218
51,4395 4214 4424 2646 4387 4219 4361 2061 3007 4335
52,4395 4424 4214 4361 2646 4384 4045 2696 2698 4050
53,2511 4308 4219 4358 4331 4361 2408 3088 4234 4408
54,4395 4424 3478 4214 4529 4410 4209 4290 4445 4227
55,2962 1951 4214 3467 4219 4532 4256 4314 4234 2646
56,4308 4234 4403 3088 4408 2408 4331 4358 4400 4205
57,2904 4444 2937 4372 3679 1746 2920 3661 2668 3028
58,4219 4384 2646 4361 4308 2696 4202 4440 2962 2943
59,2865 1958 1966 4361 4406 4219 2696 2646 4400 4508
60,2696 4400 4361 4403 2831 4219 4409 4331 4408 4407
61,4219 2646 4308 4396 4205 4440 4133 4331 4285 3149
62,4400 2865 2964 2696 4332 2408 1966 4408 4406 2831
63,4400 2696 4387 2831 1901 4408 4234 4403 3132 2962
64,1909 2831 4400 4234 4387 4153 2462 4050 1918 4396
65,2948 4388 2695 2663 4375 2794 4440 2203 3777 4202
66,2663 4266 3525 4287 4269 3157 2895 4163 3779 4365
67,4440 4384 4313 4326 4261 3470 3078 4202 4395 4221
68,4375 2663 4008 4287 4202 2794 4335 3595 3932 2204
69,4361 4400 3149 1966 2646 4406 2865 4219 4331 2831
70,4396 4328 4234 3467 1907 4362 4308 4153 4050 4045
71,4515 4545 4234 4331 4361 4308 4204 4219 4214 4205
72,4362 4361 2698 4214 4234 3467 4050 4153 4331 2267
73,4440 4395 4269 2663 4389 2895 4266 2902 2968 2220
74,2696 4400 2865 1966 4361 3470 4406 3209 4219 3078
75,2646 4308 4219 4361 4234 4331 4214 4440 4395 3149
76,4362 4234 4045 1901 3467 4361 4214 4050 4222 4396
77,4545 4515 4396 1901 3088 4362 4308 1899 4234 1923
78,4234 4045 4227 4362 4290 4308 4214 4050 4153 4396
79,2696 4361 4219 3078 4406 3844 3470 4409 4532 2865
80,4355 4437 3469 4320 2902 3861 2232 2899 4317 4301
81,2696 4400 4361 2865 4408 2521 4406 1966 4367 2964
82,4400 4308 4219 4234 2831 4408 4532 2964 4502 4358
83,4234 4308 4361 4331 4204 4050 4045 4387 4219 4153
84,4400 3006 4407 4403 2865 1966 4358 2831 2962 3209
85,2962 4397 2646 4214 4219 4335 4400 4290 4320 4308
86,4234 1951 4384 4361 4045 3467 4308 4320 2698 3090
87,4361 2646 4331 4234 4406 4045 4219 3470 4308 4050
88,1951 4045 4234 2962 4383 4050 4438 2698 4361 3467
89,3467 4320 4234 4050 4153 4045 4396 1951 4308 1901
90,2696 2865 3470 1966 4406 4361 4400 3078 2886 4409
91,4205 3149 4009 4387 1923 2943 4045 4234 4133 4308
92,4214 4362 2698 4234 4045 4532 4361 4204 4133 4050
93,4387 2696 3400 4532 1958 3470 4400 3055 3088 3078
94,4411 2062 4419 3260 4404 4110 3147 2057 3006 4251
95,3436 3467 1951 4384 4532 4396 4308 4214 4320 4328
96,4403 4400 2831 4409 1958 4050 4205 4153 4407 4308
97,4403 4407 2831 4400 2408 3149 4358 3209 4234 4387
98,4234 4050 2964 4153 4045 4308 4320 2698 4366 4367
99,4331 1958 4400 2696 4219 4234 3078 3088 3470 4308
100,4234 4396 3467 3436 4204 4308 4050 4153 4045 4362
101,4361 2696 2865 4400 2831 4331 2521 3149 4406 1966
102,4451 3995 4214 4404 2698 4290 4438 4366 4159 4209
103,4219 2646 2831 2521 2962 4361 4408 3088 4384 4308
104,4440 4400 2865 4219 1966 4389 3078 4408 2696 2831
105,4219 2646 4384 4440 4308 4395 4313 3077 4532 3088
106,4219 2646 2831 2521 4308 4361 2962 3088 4532 4384
107,1909 4308 1918 2521 4286 3149 4516 2944 3843 4517
108,4308 4384 4219 3077 4361 3564 4234 2962 4396 4395
109,2646 4234 4219 4308 4045 4331 4204 4050 4153 4361
110,4219 4308 2646 4400 4234 4408 2408 4361 4323 4270
111,4219 4308 4361 2646 2521 4322 4331 4531 2865 4010
112,2696 3078 3470 4409 4400 4332 2886 4361 4219 2831
113,2696 4045 4133 4234 4050 4153 4320 4046 4446 1960
114,4395 2962 2696 4409 4384 4389 2646 4424 3078 4219
115,4454 1842 4526 4395 4523 4335 2293 3662 4329 4528
116,4219 4308 2646 4400 3088 2962 4205 4234 4384 4214
117,1909 1901 4396 4286 4249 4296 4354 4234 4308 4387
118,4440 4219 4384 2646 3078 2521 4313 4389 4525 3077
119,4384 2646 4219 4308 3078 4395 4050 4313 4153 4214
120,4219 4361 4440 2943 4384 3470 4389 4406 4335 3689
121,4440 4384 3078 4219 4389 2646 3470 4313 4202 2521
122,3478 4451 4214 2665 4366 3995 3314 4290 4227 4447
123,2696 4400 4361 4219 4308 4354 2521 1966 3149 4409
124,1909 4328 4400 2408 2511 2062 4396 4403 4408 1918
125,4440 4219 2521 4389 2663 2943 4202 4361 4404 3552
126,4153 4050 4045 4396 4046 4133 4367 4308 4408 2964
127,4384 4361 4219 2646 4045 3470 4050 4153 4395 4133
128,2865 4361 4400 2696 4331 2831 3149 4406 1966 2866
129,4408 4400 4308 1960 2831 2962 4403 4367 4431 4396
130,4361 2696 4219 2962 4308 4234 4532 4384 3149 4366
131,4202 4440 2696 2886 2220 2663 2288 4005 3552 2894
132,4411 4205 4404 3261 2062 4251 4396 4419 4229 2068
133,4308 2698 4214 4234 4045 4111 4331 4396 4366 4362
134,4133 4403 4050 4046 4153 3467 4328 3889 4331 1910
135,2696 4532 4387 4400 1958 4361 4409 4406 4285 4504
136,2696 3470 1966 2866 4509 2865 4400 3567 2886 4406
137,4308 4407 2408 4219 4403 4234 4396 4358 4361 2511
138,2857 4109 4205 2062 4419 4110 3261 2060 4411 3006
139,4219 4308 2646 4234 4214 4408 3088 4400 4204 4362
140,4395 2646 4214 3026 2696 4219 2521 4424 2288 3055
141,1909 4248 4299 4308 4286 4387 4234 4396 4358 1918
142,2865 1966 1958 4406 4361 4219 2696 2646 4400 4508
143,4320 4308 4361 2902 3483 3861 4338 4234 3995 4366
144,4396 3565 4389 4219 2646 4384 4204 2962 4361 4308
145,4234 4362 2698 4153 4050 2962 1901 3929 4308 4214
146,4234 1958 4308 4050 4361 4045 4320 4153 3007 4331
147,4219 4440 3470 2646 1966 4387 4384 1958 4308 4389
148,2696 4406 4361 3844 2865 1966 4400 2866 4331 3209
149,4400 2865 1966 4219 2696 2646 4509 4361 3149 4234
150,4445 4229 4410 3400 4310 4402 4422 4413 4247 2038
151,4400 1966 2831 4403 2865 4234 3149 2408 4407 4408
152,4361 4219 2943 3055 2696 3689 2646 4308 3088 4509
153,1907 1909 4328 4396 4308 4286 4234 4407 1901 4362
154,4396 4328 1907 4286 1909 3436 4234 3467 4362 4133
155,4403 4400 4407 4358 2831 4361 1966 2408 2865 3209
156,2696 4400 4361 4331 2521 4308 2865 3689 3055 3088
157,4400 2521 2696 4440 3149 1966 4205 2831 3088 3056
158,4214 2698 1951 2665 4366 4234 4050 4308 4445 4045
159,4361 2865 1966 2696 4400 3149 4406 4509 3470 3567
160,1909 4516 4204 4517 4234 4328 4290 4396 4308 4400
161,4214 2698 2665 4398 3553 4308 4384 4361 4331 4395
162,2696 3078 3470 2886 4409 4361 2865 2894 4400 3482
163,4045 4234 4050 4204 4153 4362 4388 2698 4320 3467
164,4400 3006 2696 4403 4407 2831 4404 4388 4361 2663
165,3078 4219 3470 4440 4384 1966 2646 4389 2037 3565
166,4362 4153 4050 2698 4236 4234 4214 2267 1918 2196
167,4400 2865 1966 2696 4219 1958 4409 4508 4408 2866
168,1951 4234 4045 4387 3088 4361 2698 4219 4308 3689
169,2696 4400 2865 4331 4361 4234 2831 4532 3149 4219
170,2696 1958 4387 4504 4361 3078 4409 4406 4400 1966
171,2696 4373 4207 4310 4204 4218 4006 4375 4379 2220
172,4219 2646 4361 2521 4308 4384 4207 4204 4395 2962
173,2696 2886 3128 2196 3643 4433 4409 2203 4440 3993
174,1907 4234 2831 1909 4408 4396 4045 4308 2964 4050
175,4451 2295 2663 4290 4214 4445 4227 4209 4354 4447
176,4219 2646 4308 4440 4389 2521 4361 4384 2962 4394
177,4214 4050 4361 4153 4320 4308 4234 4219 3467 4045
178,4320 2232 3467 4214 4335 2698 1901 4301 2962 4383
179,4423 3028 4364 4220 4318 4372 2937 2917 2914 2909
180,3565 4219 4389 2646 4396 4384 4205 4234 4356 4321
181,4219 3565 4285 4205 4389 4384 4440 4018 4257 3149
182,1909 4204 4219 4234 1958 3088 4308 4361 2646 4218
183,2919 4214 2698 4354 4308 3467 2075 4050 4366 2665
184,4406 2696 3844 2865 4361 1966 4400 2037 3209 2866
185,4320 2232 4214 3469 4227 4301 4234 4388 4050 4366
186,4319 3254 4388 2923 2244 4320 4375 2942 2918 3993
187,2831 4400 2696 4532 4403 4408 4219 4361 2521 3078
188,4400 2696 2831 4409 4387 4361 4408 4332 3689 3055
189,4403 3689 3055 3088 2865 2831 2521 4308 4400 2696
190,4204 3580 4006 2095 2942 1951 3579 3556 3589 4276
191,4050 4384 4153 4045 4234 4532 3128 4214 4204 3643
192,1909 4396 1918 4361 4286 3419 4204 2521 4346 4328
193,4403 4407 4400 2408 3149 4532 2831 4358 4234 4361
194,3467 4286 2408 1951 4214 2698 3436 4234 4407 1918
195,4395 4424 4214 4222 2646 4389 4335 4219 3026 4350
196,4361 2865 4387 4532 2646 4504 4508 3567 4219 3149
197,4384 4361 4219 2646 2962 2695 3078 2663 4440 4389
198,4320 4234 4214 3469 3861 4050 4045 4301 2899 3467
199,4406 3844 4361 4219 2696 3689 1836 4531 2646 2865
200,2696 4400 4404 2865 4409 4440 4361 4403 4509 4205
201,2696 2203 3932 2204 4332 4409 3088 4400 3055 3689
202,4308 4219 2646 2943 4205 4396 4361 2962 2863 3088
203,1958 4387 4532 1966 4400 4219 2696 2865 3470 4504
204,4234 1909 4362 4308 4045 4396 4338 4050 4153 4214
205,4384 2943 3088 4361 2962 2696 3149 4205 4331 4409
206,4308 4396 3088 4328 4403 4407 4400 4111 4205 1901
207,4395 4214 4424 2646 3026 2698 4219 2665 4205 3149
208,4361 4308 4403 4400 2696 4219 4387 3689 3055 1909
209,4361 4331 4234 4219 3149 2943 2696 4205 2462 4532
210,4234 4331 4384 4045 2831 4400 4204 4050 4153 2696
211,1966 2831 4400 2865 4406 3078 2646 2696 3149 4219
212,4234 4045 4396 4362 3467 4050 4286 4153 2949 4308
213,4384 4219 4440 3078 3470 2646 4389 2943 3565 4313
214,4395 4214 2646 2696 4400 4219 1966 2521 3470 4403
215,4234 4328 1909 4403 4400 4408 4396 2408 4308 3419
216,2917 2663 4440 2695 4375 2794 3862 2203 2968 3932
217,4460 4366 4308 4214 2698 4290 4400 4227 4219 4451
218,4403 2521 2944 4406 4387 4205 3078 4361 3149 2866
219,1960 4308 4408 4396 4205 3149 4361 4202 3088 4219
220,4440 2220 4202 2942 4373 4008 2696 2663 2217 4276
221,4219 3565 4205 4308 2646 4285 3149 2943 4389 4396
222,1907 4234 4214 4396 4460 4045 4362 4328 4532 2071
223,4219 2646 4257 4205 4308 4361 2943 4285 3149 2521
224,4400 4409 2917 4403 2696 2408 4372 2962 4232 2831
225,4309 2910 2214 3750 4371 4010 4324 4254 4361 4322
226,4220 4371 2917 4240 4247 4423 2911 1948 4364 4372
227,4396 3436 1907 1909 4328 4286 4234 1901 4242 4308
228,2696 4406 4361 3844 2865 4400 4502 1966 4219 4358
229,1958 1966 4219 4387 4384 4400 4361 4440 4308 2646
230,2696 4400 3689 3470 3055 3088 3056 4361 3078 4409
231,4396 4234 4308 4286 4045 1907 4532 4403 4050 4153
232,4387 1958 4532 4407 2865 1966 3088 4400 4219 3055
233,3643 4532 3128 2220 4050 4045 3359 4153 4234 4204
234,4387 4403 4407 2962 4205 4331 4308 4396 2943 3149
235,4387 2696 4532 4219 4361 4400 3055 3470 3689 1909
236,4400 2696 4403 4532 4361 3209 2521 4407 2802 4408
237,3265 1918 1909 4362 4396 2663 1835 1901 3661 2668
238,4046 4133 4446 1909 4328 1918 4234 4396 4153 4204
239,2914 4423 4364 4232 4318 3737 4220 4247 4429 2937
240,4396 4328 4286 4354 1909 4234 4045 3436 4367 4050
241,4396 1907 4234 4308 4433 4328 4219 4286 4331 1899
242,4234 4362 4214 2698 4327 4435 4253 4426 3467 4308
243,3844 4406 4361 3972 4346 2943 4440 4409 2865 3007
244,4388 4375 4361 4234 4045 4308 4214 3467 2252 4384
245,4387 2696 4219 4532 4504 3088 4361 4407 4400 1958
246,2696 4409 3470 4400 4361 3078 2865 4532 2521 3689
247,4361 4387 4219 2037 3470 2943 1958 2521 4406 1909
248,2663 4375 4202 4435 4388 4269 2794 4287 2968 3932
249,3470 3078 2696 4509 3567 4313 1966 4219 4361 4384
250,4308 4214 1951 2962 4384 3467 4234 1901 2232 1899
